Indicator,Next
-467278.650717968,52
1978435.36242311,-3
-4303556.73969891,44
736879.232119511,41
402464.302087876,60
3824783.30920383,61
251094.114020017,-50
-3489692.54400159,-15
-7913842.79003721,63
-864639.295368717,325
20681939.5488906,198
9895674.2925664,-256
-7033354.17306526,26
-19473732.6046178,19
-5125307.15543545,6
6495921.12949515,1
1865428.3259551,146
2614757.81036796,160
8903903.89848144,-129
958232.964164664,27
-2648520.93008477,-34
-12651412.9379636,-65
1026591.1236193,28
-2298343.82200899,40
6196961.91942814,-68
-4198768.27456574,-28
69052.8959855918,9
-3483649.81530443,43
1156378.29584369,39
1712164.39121653,88
28793614.0710326,129
-3243547.03454461,208
5531467.11977608,-27
-44007371.279785,-129
-13872001.1020178,-84
-3582513.64542345,185
21214065.8567811,-178
13277758.1534104,-22
-3185691.18206904,89
-3544087.36376652,-103
2773575.10103287,-68
-2933292.72225644,11
-5357338.42077329,0
-3074065.0571468,3
3560668.06090122,6
3570690.86471025,17
5701050.98743295,-47
109235.944092392,10
-408727.792304978,47
101072.681934279,84
896539.866000525,134
8378465.89147829,33
538491.18197373,52
-703181.364487528,-70
-7041395.75172944,26
-139636.051492752,5
-401258.370623608,-60
-1814660.47067735,-220
-12403704.360086,-154
-18798435.8180256,81
1509360.27514475,-18
9323894.33642455,10
17718951.8129138,26
-799044.487221838,71
3212571.26210799,-89
805925.540809969,16
342975.931369385,-210
-11445157.8191226,7
167906.057983,-85
-5591240.59843552,16
9659895.22462765,130
2767936.46582332,-32
5844230.45964557,-69
-6809576.89305358,-81
-8951457.16932599,-141
-11664442.9833681,109
9965934.62743744,50
7641978.30324886,-12
11376130.0035642,-38
-4916404.83440234,-118
-5055247.1730304,5
-3420931.24554441,-70
-2830380.02486001,176
4752443.21926461,16
6869169.46916701,134
7599136.49977191,-20
-2115118.43000287,5
-2953172.90431612,-32
-5398925.51267599,-57
-1307622.88175067,-67
-14084448.3561507,33
-671191.276587147,-175
-2963241.90898197,68
12088500.7528944,36
5364743.69942926,53
4189845.22010207,75
3707763.63468873,58
1450134.94477917,-11
1743613.47512318,18
-3906678.80006094,-39
-4842216.84706993,38
275649.712085569,-62
1913060.48068773,-49
-1318442.70679366,52
-2258766.47286276,-63
-1816444.30288822,-29
940452.246524972,18
1004086.03409866,-138
-3228474.02522332,-68
-3246068.0187628,-104
-10594010.1298384,56
1562133.9050809,91
6552227.53317163,-1
10690355.5787795,8
3335712.39804385,5
-3752502.36921185,-119
-5647885.90523932,-112
-9206996.97080339,52
3911357.54857152,4
5233782.28142268,-83
5058483.12206536,-102
-9861862.70875654,-89
-15382025.938565,-188
-1184561.78814426,52
4766296.76601835,7
15934388.3338286,-44
228792.366994382,15
526345.138438345,-30
-4966336.02541393,-143
-2364158.13857779,69
5500475.03836341,-22
-182363.409869972,-7
7525393.10633611,-3
-5703427.00273091,-117
-4096682.27927112,-23
-3386821.89467388,84
495293.765051876,224
42158617.7909837,51
11862145.7625833,-57
1012772.05827358,-39
-34148385.0977656,-40
-12422770.4496491,-188
-2450485.45117051,115
5633218.79399593,20
4841013.38411638,-47
2503400.43961543,42
-4117824.1152919,2
-1231559.59647971,90
2159168.262193,-23
518541.435708193,68
2046534.36088888,52
591853.551788079,52
1909422.71713801,175
3314275.85439768,13
1627130.38973335,-132
-5604794.02223845,145
-2579494.38992275,-31
-3356806.20721744,-86
1721938.09545635,57
-1666073.89739331,69
5932620.45554915,-38
1375183.58889724,35
570462.418373302,-52
-6959340.19920126,127
5366609.52108928,122
11320069.081751,-169
-295578.421714205,-107
-9197955.15937825,45
-13019343.3661338,4
800713.259825129,-49
3106554.17748612,5
1647815.36764835,-132
-4798998.4332496,15
1993689.84929363,-121
-4566158.79240125,-100
1848227.24625877,83
266331.7473777,30
3386185.97258734,-63
3007030.33705263,-324
-18107463.3331747,-86
-10791604.6206847,38
-7407097.77940912,10
4170101.69821044,-34
6791881.80132346,-132
-12341427.5653946,61
13999674.2624893,58
